Palavras;Frequência
oms;11
pede;2
melhor;1
higienização;19
mãos;21
outras;4
práticas;8
controle;10
infecções;17
no;5
dia;4
mundial;7
celebrado;2
neste;2
5;3
maio;2
organização;3
saúde;16
reforça;2
importância;2
promoção;3
lembra;2
ação;4
leva;3
apenas;9
alguns;4
segundos;4
salva;3
vidas;4
uma;3
pesquisa;4
global;4
sobre;6
implementação;8
programas;5
nacionais;3
prevenção;11
destaca;2
necessidade;3
urgente;3
reduzir;3
desigualdades;3
disponibilidade;3
boa;4
medidas;4
países;20
alta;9
baixa;10
renda;15
este;2
sério;2
desafio;2
qualquer;2
momento;2
covid19;2
demonstrou;2
dramaticamente;2
quão;2
importantes;2
boas;2
redução;2
risco;4
transmissão;2
usadas;2
parte;2
pacote;2
abrangente;2
preventivas;2
alerta;1
um;2
novo;2
portal;3
monitoramento;3
ajudará;1
identificar;1
preencher;1
lacunas;1
vital;1
quaisquer;1
adquiridas;2
atenção;2
propagação;1
resistência;2
antimicrobiana;2
ameaças;1
emergentes;1
a;7
infecção;2
adquirida;1
durante;2
prestação;1
serviços;3
grande;1
problema;1
pacientes;6
média;7
têm;4
duas;1
vezes;4
probabilidade;1
15;1
7;1
respectivamente;2
unidades;4
terapia;1
intensiva;1
uti;2
principalmente;1
recémnascidos;1
2;1
20;2
maior;1
razão;1
cada;4
10;1
profissionais;5
pratica;1
adequada;1
enquanto;1
cuida;1
alto;1
associadas;1
muitas;1
porque;1
simplesmente;1
instalações;2
fazêlo;1
principais;3
desafios;2
falta;1
recursos;1
financeiros;2
infraestruturas;1
precárias;1
o;4
relatório;2
progresso;2
2020;1
wash;1
mostra;1
primeiro;2
fundamentos;1
revela;1
globalmente;1
quatro;2
básicos;1
água;1
três;2
suprimentos;1
higienizar;1
locais;1
atendimento;2
além;1
disso;1
acordo;1
feita;1
88;1
nível;1
especialmente;1
relação;1
real;1
significativamente;1
menor;1
em;1
2018;1
45;1
programa;1
nacional;2
funcional;1
comparação;1
53;1
71;1
orçamento;1
dedicado;1
apoiar;2
disponível;1
contra;1
18;1
50;2
embora;1
diretrizes;1
existissem;1
69;1
77;1
29;1
57;1
planos;1
estratégias;4
geral;1
22;1
todos;5
monitoraram;1
impacto;1
poucos;1
capacidade;1
monitorar;1
eficácia;1
plataforma;1
virtual;1
protegida;1
coletarem;1
dados;2
maneira;1
padronizada;1
fácil;1
usar;1
bem;2
baixarem;1
análise;1
situação;1
após;1
entrada;1
juntamente;1
orientações;1
áreas;1
abordagens;1
melhoria;2
as;1
área;1
afetam;1
milhões;2
todo;3
mundo;3
anos;2
quase;1
9;1
registradas;1
europa;1
metade;1
dessas;1
pode;4
evitada;1
eficazes;2
incluindo;1
essas;1
podem;1
prevenir;1
mortes;1
relacionadas;1
ocorrem;1
investir;1
gerar;2
retornos;2
significativos;1
políticas;1
econômicos;1
16;1
custo;1
entanto;1
oportunidades;1
iguais;1
implantar;1
sistemas;1
apropriados;1
corretas;1
evitar;1
sofrimento;1
causado;1
importante;2
nunca;1
ajudar;1
sustentar;1
desta;1
básica;1
fundamental;2
esta;1
atoreschave;1
torno;1
slogan;1
“;2
salvam;1
higienize;1
”;2
declarou;1
2021;1
ano;1
internacionais;1
trabalhadores;1
cuidadores;1
fim;1
proteger;1
essenciais;1
evidências;1
mostram;1
adequadas;1
reduzem;1
portanto;1
envolver;1
diferentes;1
sociedade;1
nesta;1
data;2
iniciativa;1
conformidade;1
indicadores;1
desempenho;1
segurança;1
paciente;1
qualidade;1
desempenhar;1
papel;1
melhorar;1
questão;1
brasil;1
panamericana;1
saúdeorganização;1
opasoms;1
celebra;1
parceria;1
agência;1
vigilância;1
sanitária;1
anvisa;1
