Palavras;Frequência
higienização;5
mãos;8
serviços;7
saúde;9
as;2
consideradas;1
principais;1
ferramentas;1
profissionais;5
atuam;1
pois;1
meio;1
executam;1
atividades;1
a;4
segurança;2
pacientes;1
nesses;1
depende;1
portanto;1
cuidadosa;1
frequente;1
desses;1
hm;5
reconhecida;1
mundialmente;1
medida;1
primária;1
importante;1
controle;2
infecções;3
relacionadas;1
assistência;3
por;1
motivo;1
sido;2
considerada;1
pilares;1
prevenção;1
apesar;1
disso;1
estudos;1
sobre;1
tema;3
mostram;1
adesão;3
práticas;5
forma;1
constante;1
rotineira;1
ainda;2
baixa;1
devendo;1
estimulada;1
tornar;1
conscientes;1
importância;1
tal;1
hábito;1
além;2
atender;1
exigências;1
legais;1
éticas;1
incluindo;1
concorre;1
melhoria;2
qualidade;1
atendimento;1
paciente;4
vantagens;1
dessas;1
inquestionáveis;1
desde;1
redução;1
morbidade;1
mortalidade;1
diminuição;1
custos;1
associados;1
tratamento;1
quadros;1
infecciosos;1
atenção;2
global;1
o;2
termo;1
engloba;1
higiene;3
simples;1
antisséptica;1
antissepsia;1
cirúrgica;1
preparo;1
préoperatório;1
dada;1
relevância;1
foco;1
especial;1
todo;1
mundo;1
organização;1
mundial;1
oms;2
definiu;2
estratégias;1
metodologia;1
conhecida;1
estratégia;1
multimodal;1
multifacetada;1
prevê;1
cinco;2
componentes;1
disponibilização;1
preparação;1
alcoólica;1
ponto;1
pialavatório;1
sabonete;1
líquido;1
água;1
capacitação;1
observação;1
retorno;1
indicadores;1
equipe;1
lembretes;1
cartazes;1
local;1
trabalho;1
estabelecimento;1
clima;1
apoio;1
expresso;1
alta;1
direção;1
líderes;1
momentos;1
acordo;1
fluxo;1
cuidados;1
assistenciais;1
antes;2
tocar;2
realizar;1
procedimento;1
limpoasséptico;1
após;3
risco;1
exposição;1
fluidos;1
corporais;1
contato;1
superfícies;1
próximas;1
