Palavras;Frequência
ao;3
ministério;4
saúde;7
realização;3
campanhas;1
comunicação;1
massa;1
difusão;1
informações;1
base;2
técnicocientíficas;1
meio;5
formatos;1
acessíveis;1
linguagem;2
simples;1
utilização;2
recurso;1
audiodescrição;1
legendas;1
libras;1
direcionadas;1
população;7
sobre;5
alimentação;4
adequada;4
saudável;4
conservação;2
alimentos;18
assim;1
trabalhadores;2
empreendedores;1
envolvidos;2
cadeia;1
fornecimento;2
quanto;2
uso;3
material;2
higiene;4
equipamentos;5
individuais;1
mitigar;2
riscos;2
contágio;2
disseminação;2
covid19;4
desenvolvimento;3
estratégias;3
orientações;1
profissionais;1
atenção;3
primária;3
importância;1
vigilância;2
alimentar;9
nutricional;7
especialmente;6
populações;2
vulneráveis;3
povos;4
comunidades;2
tradicionais;3
negra;1
quilombolas;2
indígenas;2
grupos;6
risco;7
incentivo;1
aleitamento;2
materno;2
consumo;2
in;2
natura;2
minimamente;2
processados;2
acordo;1
recomendações;3
guias;1
alimentares;3
acessível;1
toda;1
forma;1
proteger;1
garantir;1
manutenção;3
aos;1
governos;2
estaduais;3
municipais;3
apoio;2
criação;1
comitês;1
emergência;1
combate;2
fome;2
formados;1
instâncias;2
tratam;1
segurança;4
san;2
conselhos;1
consea;1
câmaras;1
intersetoriais;3
governamentais;1
caisan;2
instituições;1
ensino;1
superior;1
ies;1
diálogo;1
sistemas;1
assistência;3
social;5
sociedade;1
civil;1
monitorar;1
propor;1
soluções;1
articuladas;1
foco;1
continuidade;2
ampliação;1
adequação;1
distribuição;8
restaurantes;2
populares;2
cozinhas;2
comunitárias;3
bancos;1
cestas;4
emergenciais;1
visando;4
priorizando;1
organizações;2
atendem;1
longa;1
permanência;1
podem;1
apoiar;1
diferentes;1
redes;2
locais;2
solidariedade;1
realizando;1
todas;2
adaptações;1
cuidados;2
necessários;1
reduzir;2
vírus;1
públicos;2
escolas;1
universidades;1
centros;2
comunitários;1
etc;2
lideranças;1
territórios;1
matriz;1
africana;1
promover;2
local;1
direta;2
saudáveis;2
kits;1
inclusive;1
feminina;1
periferias;2
favelas;2
estudantes;1
cotistas;1
utilizando;1
logística;2
pessoas;1
doenças;1
crônicas;1
fator;1
severo;1
quadro;1
fortalecimento;2
acompanhamento;1
identificação;1
agravos;1
fatores;2
necessidades;1
possuem;1
populacionais;1
condições;1
vulnerabilidade;2
iniquidade;1
assistidas;1
programas;1
transferência;1
renda;2
promoção;3
orientação;1
higienização;1
equipe;1
multiprofissional;1
nutricionistas;1
circuitos;1
curtos;1
proximidade;1
comercialização;2
adequados;1
articulados;1
varejo;1
pequeno;1
comércio;2
feiras;2
garantam;1
acesso;2
famílias;3
tempo;1
favorecem;1
geração;1
pequenos;2
produtores;1
estímulo;1
iniciativas;1
agricultoresas;1
consumidores;1
compra;2
produção;2
agricultura;5
familiar;3
agroecológicas;1
modo;1
possam;1
adquiridas;1
observância;1
critérios;1
distanciamento;1
filas;1
máscaras;1
todos;1
consumidora;1
processo;1
aquisição;2
garantia;3
proteção;1
sanitária;1
dasos;1
trabalhadorases;2
atividades;1
sistema;2
dependemos;1
assegurar;2
abastecimento;4
instando;1
empregadores;1
indústria;1
adotar;1
medidas;3
concretas;1
nessa;1
direção;1
orientando;1
formais;1
informais;1
procedimentos;1
requeridos;1
correto;1
desses;1
materiais;1
gestão;1
varejões;1
sacolões;1
mercados;1
atenda;1
esforços;1
além;1
finalidades;1
mercantis;1
específicas;1
devidos;1
contaminação;1
elaboração;1
intuito;1
facilitar;2
financiamento;1
agricultores;1
incentivos;1
operações;1
estabelecimento;1
parcerias;1
adoção;2
armazenamento;1
produções;1
auxiliar;1
redução;1
perdas;1
póscolheitas;1
safras;1
à;1
câmara;2
deputados;1
a;1
rejeição;1
projeto;1
lei;2
11942020;1
dispõe;1
desperdício;1
doação;2
excedentes;1
refeições;1
prontas;1
dá;1
outras;1
providências;1
autoria;1
senador;1
fernando;1
collor;1
prosal;1
cidadania;1
reconstituição;1
imediata;2
interministerial;1
prevista;1
art;1
11;1
inciso;1
iii;1
orgânica;1
losan;1
cabe;1
elaborar;1
coordenar;1
executar;1
política;1
plano;1
nível;1
federal;3
reunião;1
representantes;1
governo;1
articular;1
políticas;1
planos;1
distrito;1
entrega;1
assentadas;1
cuja;1
composição;1
embasada;1
guia;1
brasileira;1
produtos;1
oriundos;1
agroecológicos;1
orgânicos;1
pecuária;1
seguintes;1
monitoramento;1
nacional;1
regionalizado;1
fluxos;1
preços;2
integrantes;1
cesta;1
básica;1
intermédio;2
conabceasas;1
b;1
recomposição;1
mínimos;1
recursos;1
aquisições;1
conab;2
básicos;1
especial;1
arroz;1
feijão;1
milho;1
leite;1
farinha;1
mandioca;1
c;1
retorno;1
imediato;1
programa;1
paa;1
estados;1
municípios;1
privilegiando;1
modalidade;1
operacionalizada;1
sociais;1
associada;1
básicas;1
carentes;1
situação;1
