Palavras;Frequência
ministério;1
saúde;17
secretarias;1
estaduais;2
municipais;2
conselhos;3
estados;1
municípios;1
distrito;2
federal;2
âmbito;1
respectivas;1
competências;1
orientem;1
profissionais;3
serviços;6
atenção;8
incluindo;1
gestores;3
prestadores;1
todas;2
profissões;1
outras;2
seguintes;1
ações;4
atuação;1
deve;3
realizada;1
maneira;1
antirracista;1
todo;1
manejo;2
pacientes;1
situação;3
vulnerabilidade;1
população;6
negra;2
populações;6
tradicionais;2
quilombos;2
terreiros;1
rua;2
ribeirinha;1
cigana;1
campo;2
águas;1
florestas;1
dentro;1
trato;1
pandemia;3
covid19;6
patologias;1
acesso;5
vulneráveis;3
básica;5
garantido;1
realizado;2
tempo;1
adequado;2
atendimento;2
necessidades;4
conforme;1
política;1
nacional;1
pnab;1
especial;2
emergências;2
provocadas;1
nova;3
doença;3
coronavírus;4
quanto;1
notificações;1
casos;1
suspeitos;1
atentem;3
preenchimento;3
ficha;1
coleta;4
quesito;1
raçacor;2
formulários;1
padronizados;1
fichas;2
notificação;3
sistemas;3
informação;4
esus;1
ve;1
síndrome;4
gripal;2
sg;2
respiratória;2
aguda;2
grave;2
srag;2
hospitalizados;1
sistema;1
vigilância;1
gripe;1
sivepgripe;1
acordo;3
autodeclaração;1
usuário;1
referente;1
fatores;1
riscomorbidades;1
respectivos;1
divulgação;2
análise;2
uso;1
informações;2
apoio;4
tomada;1
decisão;1
junto;2
modo;1
proporcionar;1
indução;1
fomento;1
pesquisas;1
apoiem;1
obtenção;1
relevância;2
publica;1
bases;1
dados;2
populacionais;1
citados;1
relação;1
medidas;1
preventivas;1
isolamento;2
social;2
alerta;1
atinge;1
forma;2
distinta;1
devido;1
barreiras;1
condições;1
sócio;1
econômicas;1
produzindo;1
iniquidades;1
relacionadas;1
corraça;2
corroborando;1
respostas;1
diferenciadas;1
enérgicas;1
medida;1
necessidade;1
demanda;1
proteção;1
durante;1
epidemia;1
refere;1
assistenciais;1
estratégias;3
fortalecer;2
hospitalares;1
ambulatoriais;1
sus;2
setor;1
privado;1
bem;2
atendem;1
pessoas;3
privadas;1
liberdade;1
esferas;1
realizar;1
monitoramento;1
suporte;3
oportuno;1
famílias;2
grupos;2
através;1
conjuntas;1
inter;1
extra;1
setoriais;1
assistência;1
combate;1
fome;1
etc;2
garantam;1
segurança;1
equipes;3
exemplo;1
comunicação;1
distância;1
seguir;1
respectivo;1
plano;1
contingenciamento;1
aps;1
estabelece;1
fluxo;1
porta;1
entrada;1
triagem;1
exame;1
clínico;1
realização;1
exames;1
ventilatório;1
internação;1
transferência;1
atentar;1
cuidado;1
mental;1
integral;1
promover;1
equidade;1
meio;1
primária;1
média;1
alta;1
complexidade;1
diversas;1
organização;1
rede;1
diferentes;1
territórios;2
articular;1
instituições;1
organizações;2
parceiras;1
órgãos;1
intersetoriais;2
comunidade;2
estimulando;2
formação;1
redes;1
diante;1
dilemas;1
estabelecer;1
difícil;1
específicas;1
vulnerabilidades;2
tais;1
aldeias;1
assentamentos;1
indígenas;1
ciganos;1
outros;1
possam;1
facilitar;1
benefícios;1
governamentais;2
garantia;1
alimentação;1
realidade;2
local;1
buscar;1
locais;1
garantir;1
socialeconômico;1
comunidades;1
dificuldades;1
maior;1
parcerias;1
representantes;1
sociedade;1
civil;1
classe;1
conselho;1
igualdade;1
racial;1
fóruns;1
comitês;1
universidade;1
participação;1
compartilhamento;1
resultados;1
alcançados;1
levantamento;1
epidemiológico;1
publicação;1
desagregados;1
vistas;1
produzir;1
representação;1
próxima;1
elaboração;1
melhores;1
soluções;1
enfrentamento;1
subsidiar;1
decisões;1
construção;1
conhecimento;1
científico;1
ampliação;1
esforços;1
inserção;1
temática;1
étnicoracial;1
processos;1
trabalho;1
educação;1
permanente;1
trabalhadoresprofissionais;1
quadro;1
provocado;1
