Palavras;Frequência
ao;1
ministério;1
saúde;3
âmbito;1
competência;1
apresente;2
medidas;2
efetivas;1
proteção;1
planos;1
apoio;3
pessoas;5
doenças;3
crônicas;3
patologias;4
durante;3
epidemia;2
sarscov2;2
vistas;2
reduzir;1
risco;3
desenvolvimento;2
comorbidades;1
óbito;1
priorize;1
ações;2
imunizaçãovacinação;1
contra;1
gripe;1
além;1
registro;1
alimentação;1
dados;1
relacionados;1
testagem;2
prioritária;1
reivindicada;1
população;2
especificada;1
podendo;1
gerar;1
análises;1
impacto;1
sobre;2
nesta;1
fortalecendo;1
vigilância;1
epidemiológica;1
cuidado;2
base;2
potencial;2
existente;1
fluxos;1
alternativas;1
acesso;2
medicamentos;1
estratégia;1
fornecimento;1
ampliado;1
bi;1
trimestral;1
demais;1
itens;1
necessários;1
manutenção;3
vida;1
vivendo;1
período;1
isolamento;3
social;1
contribuindo;1
destas;1
domiciliar;1
protetivo;1
construa;1
protocolos;1
específicos;1
atendimento;1
especificamente;1
formas;1
remotas;1
contato;1
pacientes;1
respectivos;1
médicos;1
especialistas;1
ambulatórios;1
públicos;1
privados;1
acompanhamento;3
patologia;2
forma;3
caso;2
adoecimento;1
eou;1
internação;1
permitam;1
cuidadoresresponsáveis;1
informações;1
pertinentes;1
doença;2
crônica;1
doda;1
usuário;1
após;1
concordância;1
utilizar;1
melhores;1
estratégias;1
possíveis;1
tratamento;3
relacionadas;1
coinfecção;1
covid19;1
invista;1
política;1
massiva;1
todos;1
integral;1
fim;1
permitir;1
mensuração;1
consistente;1
número;1
infecções;1
índice;1
letalidade;1
real;1
promover;1
conhecimento;1
status;1
sorológico;1
tempo;1
hábil;1
adequado;1
realizado;1
evitando;1
quadro;1
grave;1
morte;1
garantindo;1
direito;1
assim;1
evitar;1
proliferação;1
vírus;1
vez;1
monitoramento;1
casos;1
pode;1
realizada;1
eficaz;1
