Palavras;Frequência
ao;1
ministério;1
saúde;5
governadores;1
estados;1
distrito;1
federal;1
secretários;2
estaduais;2
prefeitos;1
municipais;3
que;2
implementadas;1
medidas;5
garantam;1
menos;1
60;1
população;1
distanciamento;2
social;3
superiores;1
agravando;1
ocupação;3
leitos;2
maneira;1
progressiva;1
efetiva;1
medida;1
sanitária;1
excepcional;1
necessária;1
adotadas;1
rigoroso;1
contenção;1
comunitária;1
bloqueio;2
inglês;1
lockdown;2
municípios;1
ocorrência;1
acelerada;1
novos;1
casos;1
covid19;1
taxa;1
serviços;3
atingido;1
níveis;1
críticos;1
agregando;1
seguintes;1
providências;1
suspensão;1
todas;1
atividades;1
não;1
essenciais;3
à;1
manutenção;1
vida;1
apenas;1
autorizando;1
funcionamento;1
considerados;2
natureza;1
adoção;2
orientação;1
sanção;1
administrativa;1
infração;1
às;1
restrição;2
podendo;1
serem;1
aplicadas;1
áreas;1
especificas;1
cidade;1
bairros;1
distritos;1
setores;1
circulação;1
pessoas;2
veículos;2
particulares;1
somente;1
uso;1
máscaras;1
salvo;1
transporte;2
itinerário;1
exercício;1
ampliação;1
informativas;1
educativas;1
monitoramento;1
cumprimento;2
coletivo;1
mobilização;1
forças;1
armadas;1
segurança;1
poderes;1
via;1
parcerias;1
intersetoriais;1
órgãos;1
vistas;1
protocolos;1
emergência;1
total;1
necessário;1
planejamento;1
antecipado;1
limite;1
rede;1
local;1
